Source IP	Destination IP	Protocol	Time	Length	Info
192.168.200.187	5.161.84.59	TCP	2023-07-15 15:52:59	602	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http PA / Raw
192.168.200.187	5.161.84.59	TCP	2023-07-15 15:52:59	66	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http A
192.168.200.187	5.161.84.59	TCP	2023-07-15 15:52:59	602	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http PA / Raw
192.168.200.187	5.161.84.59	TCP	2023-07-15 15:52:59	602	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http PA / Raw
192.168.200.187	5.161.84.59	TCP	2023-07-15 15:52:59	66	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http A
192.168.200.187	5.161.84.59	TCP	2023-07-15 15:52:59	602	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http PA / Raw
192.168.200.187	5.161.84.59	TCP	2023-07-15 15:53:00	602	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http PA / Raw
192.168.200.187	5.161.84.59	TCP	2023-07-15 15:53:00	66	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http A
192.168.200.187	5.161.84.59	TCP	2023-07-15 15:53:00	602	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http PA / Raw
192.168.200.187	5.161.84.59	TCP	2023-07-15 15:53:00	66	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http A
192.168.200.187	5.161.84.59	TCP	2023-07-15 15:53:00	1116	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http PA / Raw
192.168.200.187	5.161.84.59	TCP	2023-07-15 15:53:00	602	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http PA / Raw
192.168.200.187	5.161.84.59	TCP	2023-07-15 15:53:00	66	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http A
192.168.200.187	5.161.84.59	TCP	2023-07-15 15:53:00	66	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http A
192.168.200.187	5.161.84.59	TCP	2023-07-15 15:53:00	66	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http A
192.168.200.187	5.161.84.59	TCP	2023-07-15 15:53:01	66	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http A
192.168.200.187	5.161.84.59	TCP	2023-07-15 15:53:01	602	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http PA / Raw
192.168.200.187	5.161.84.59	TCP	2023-07-15 15:53:01	66	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http A
192.168.200.187	5.161.84.59	TCP	2023-07-15 15:53:04	602	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http PA / Raw
192.168.200.187	5.161.84.59	TCP	2023-07-15 15:53:04	66	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http A
192.168.200.187	5.161.84.59	TCP	2023-07-15 15:53:04	602	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http PA / Raw
192.168.200.187	5.161.84.59	TCP	2023-07-15 15:53:04	602	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http PA / Raw
192.168.200.187	5.161.84.59	TCP	2023-07-15 15:53:04	66	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http A
192.168.200.187	5.161.84.59	TCP	2023-07-15 15:53:05	602	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http PA / Raw
